code,name,name_tv,gender,function,country_code,disciplines,events,birth_date
1560762,ESPOSITO Manila,Manila ESPOSITO,Female,Athlete,ITA,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2006-11-02
1560780,CARUCCI Nicolo',Nicolo' CARUCCI,Male,Athlete,ITA,['Rowing'],"[""Men's Double Sculls""]",2001-02-22
1560781,RAMBALDI Luca,Luca RAMBALDI,Male,Athlete,ITA,['Rowing'],"[""Men's Quadruple Sculls""]",1994-12-09
1560782,CAPPONI Emanuele,Emanuele CAPPONI,Male,Athlete,ITA,['Rowing'],"[""Women's Eight""]",2001-01-07
1560783,CODATO Alice,Alice CODATO,Female,Athlete,ITA,['Rowing'],"[""Women's Eight""]",2003-09-26
1560788,PELACCHI Giorgia,Giorgia PELACCHI,Female,Athlete,ITA,['Rowing'],"[""Women's Eight""]",1998-04-06
1560793,KOHL Nicholas,Nicholas KOHL,Male,Athlete,ITA,['Rowing'],"[""Men's Four""]",1998-10-07
1560988,HALL Conor,Conor HALL,Male,Athlete,GBR,['Archery'],"[""Men's Individual"", ""Men's Team""]",1995-09-08
1560989,HALL Tom,Tom HALL,Male,Athlete,GBR,['Archery'],"[""Men's Individual"", ""Men's Team""]",1990-09-17
1560990,HAVERS Megan,Megs HAVERS,Female,Athlete,GBR,['Archery'],"[""Women's Individual"", ""Women's Team""]",2007-12-02
1560991,HEALEY Penny,Penny HEALEY,Female,Athlete,GBR,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-03-07
1561000,PITMAN Bryony,Bryony PITMAN,Female,Athlete,GBR,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1997-03-13
1561003,WISE Alex,Alex WISE,Male,Athlete,GBR,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2000-08-17
1561138,VIERU Denis,Denis VIERU,Male,Athlete,MDA,['Judo'],['Men -66 kg'],1996-03-10
1561149,MARINIC Matija,Matija MARINIC,Male,Athlete,CRO,['Canoe Slalom'],"[""Men's Canoe Single"", ""Men's Kayak Cross""]",1990-12-24
1561237,CARDOSO Adriana,Adriana CARDOSO,Female,Athlete,BRA,['Handball'],['Women'],1990-10-29
1561239,BOLZAN Ana Claudia,Ana Claudia BOLZAN,Female,Athlete,BRA,['Handball'],['Women'],1996-07-15
1561242,ARENHART Barbara,Barbara ARENHART,Female,Alternate Athlete,BRA,['Handball'],['Women'],1986-10-04
1561243,de PAULA Bruna,Bruna de PAULA,Female,Athlete,BRA,['Handball'],['Women'],1996-09-26
1561248,BITOLO Gabriela,Gabriela BITOLO,Female,Athlete,BRA,['Handball'],['Women'],1999-04-01
1561249,MORESCHI Gabriela,Gabriela MORESCHI,Female,Athlete,BRA,['Handball'],['Women'],1994-07-08
1561250,GUARIEIRO Giulia,Giulia GUARIEIRO,Female,Athlete,BRA,['Handball'],['Women'],1995-07-24
1561253,QUINTINO Jessica,Jessica QUINTINO,Female,Athlete,BRA,['Handball'],['Women'],1991-04-17
1561255,LOPES Jhennifer,Jhennifer LOPES,Female,Athlete,BRA,['Handball'],['Women'],2000-07-28
1561256,ROSA Kelly,Kelly ROSA,Female,Athlete,BRA,['Handball'],['Women'],2004-01-25
1561257,ARAUJO Larissa,Larissa ARAUJO,Female,Athlete,BRA,['Handball'],['Women'],1992-07-01
1561261,AROUNIAN Marcela,Marcela AROUNIAN,Female,Athlete,BRA,['Handball'],['Women'],2000-01-07
1561264,FERNANDES Mariane,Mariane FERNANDES,Female,Athlete,BRA,['Handball'],['Women'],1996-01-04
1561269,MATIELI Patricia,Patricia MATIELI,Female,Athlete,BRA,['Handball'],['Women'],1988-11-08
1561272,de ARRUDA Renata,Renata de ARRUDA,Female,Athlete,BRA,['Handball'],['Women'],1999-02-18
1561274,VIEIRA Samara,Samara VIEIRA,Female,Athlete,BRA,['Handball'],['Women'],1991-10-07
1561276,ARAUJO FROSSARD Tamires,Tamires ARAUJO FROSSARD,Female,Athlete,BRA,['Handball'],['Women'],1994-05-16
1561303,SEARE Dawit,Dawit SEARE,Male,Athlete,ERI,['Athletics'],"[""Men's 5000m""]",2004-12-29
1561316,GRAMBUSCH Tom,Tom GRAMBUSCH,Male,Athlete,GER,['Hockey'],['Men'],1995-08-04
1561318,WELLEN Niklas,Niklas WELLEN,Male,Athlete,GER,['Hockey'],['Men'],1994-12-14
1561319,GRAMBUSCH Mats,Mats GRAMBUSCH,Male,Athlete,GER,['Hockey'],['Men'],1992-11-04
1561320,MILTKAU Marco,Marco MILTKAU,Male,Athlete,GER,['Hockey'],['Men'],1990-08-18
1561321,MUELLER Mathias,Mathias MUELLER,Male,Athlete,GER,['Hockey'],['Men'],1992-04-03
1561322,RUEHR Christopher,Christopher RUEHR,Male,Athlete,GER,['Hockey'],['Men'],1993-12-19
1561323,WINDFEDER Lukas,Lukas WINDFEDER,Male,Athlete,GER,['Hockey'],['Men'],1995-05-11
1561324,ZWICKER Martin,Martin ZWICKER,Male,Athlete,GER,['Hockey'],['Men'],1987-02-27
1561325,GROSSE Johannes,Johannes GROSSE,Male,Athlete,GER,['Hockey'],['Men'],1997-01-07
1561329,HUSE Viktoria,Viktoria HUSE,Female,Athlete,GER,['Hockey'],['Women'],1995-10-24
1561330,LORENZ Nike,Nike LORENZ,Female,Athlete,GER,['Hockey'],['Women'],1997-03-12
1561332,ORUZ Selin,Selin ORUZ,Female,Athlete,GER,['Hockey'],['Women'],1997-02-05
1561334,PIEPER Cecile,Cecile PIEPER,Female,Athlete,GER,['Hockey'],['Women'],1994-08-31
1561339,SCHROEDER Anne,Anne SCHROEDER,Female,Athlete,GER,['Hockey'],['Women'],1994-09-11
1561341,STAPENHORST Charlotte,Charlotte STAPENHORST,Female,Athlete,GER,['Hockey'],['Women'],1995-06-15
1561343,WORTMANN Amelie,Amelie WORTMANN,Female,Athlete,GER,['Hockey'],['Women'],1996-10-21
1561348,WENZEL Benedetta,Benedetta WENZEL,Female,Athlete,GER,['Hockey'],['Women'],1997-03-31
1561350,HORN Kira,Kira HORN,Female,Athlete,GER,['Hockey'],['Women'],1995-02-12
1561352,KUBALSKI Nathalie,Nathalie KUBALSKI,Female,Athlete,GER,['Hockey'],['Women'],1993-09-03
1561360,KAUFMANN Paul-Phili,Paul-Philipp KAUFMANN,Male,Athlete,GER,['Hockey'],['Men'],1996-06-21
1561362,PRINZ Thies,Thies PRINZ,Male,Athlete,GER,['Hockey'],['Men'],1998-07-07
